,train,val,test
84,patient_002_node_4,,patient_076_node_4
85,patient_037_node_0,,patient_038_node_4
86,patient_032_node_4,,patient_014_node_3
87,patient_090_node_4,,patient_028_node_3
88,patient_036_node_0,,patient_091_node_3
89,patient_039_node_2,,patient_020_node_2
90,patient_059_node_4,,patient_009_node_1
91,patient_089_node_0,,patient_021_node_0
92,patient_054_node_4,,patient_051_node_1
93,patient_071_node_2,,patient_028_node_2
94,patient_089_node_4,,patient_022_node_0
95,patient_072_node_3,,patient_020_node_4
96,patient_002_node_2,,patient_038_node_2
97,patient_031_node_1,,patient_013_node_4
98,patient_010_node_2,,patient_094_node_1
99,patient_000_node_2,,patient_045_node_3
100,patient_041_node_1,,
101,patient_020_node_0,,
102,patient_035_node_3,,
103,patient_085_node_2,,
104,patient_011_node_4,,
105,patient_047_node_1,,
106,patient_008_node_2,,
107,patient_035_node_4,,
108,patient_086_node_2,,
109,patient_060_node_2,,
110,patient_071_node_4,,
111,patient_043_node_4,,
112,patient_021_node_2,,
113,patient_046_node_1,,
114,patient_019_node_4,,
115,patient_095_node_2,,
116,patient_093_node_1,,
117,patient_029_node_4,,
118,patient_041_node_2,,
119,patient_043_node_1,,
120,patient_043_node_2,,
121,patient_054_node_0,,
122,patient_091_node_1,,
123,patient_057_node_1,,
124,patient_001_node_1,,
125,patient_059_node_2,,
126,patient_061_node_2,,
127,patient_067_node_1,,
128,patient_070_node_2,,
129,patient_060_node_4,,
130,patient_040_node_4,,
131,patient_040_node_3,,
132,patient_014_node_1,,
133,patient_074_node_3,,
134,patient_046_node_0,,
135,patient_069_node_4,,
136,patient_066_node_1,,
137,patient_071_node_1,,
138,patient_034_node_1,,
139,patient_033_node_0,,
140,patient_056_node_0,,
141,patient_007_node_0,,
142,patient_050_node_0,,
143,patient_011_node_2,,
144,patient_055_node_3,,
145,patient_036_node_2,,
146,patient_098_node_4,,
147,patient_067_node_0,,
148,patient_088_node_0,,
149,patient_082_node_1,,
150,patient_056_node_1,,
151,patient_023_node_4,,
152,patient_068_node_0,,
153,patient_025_node_3,,
154,patient_030_node_0,,
155,patient_041_node_3,,
156,patient_079_node_1,,
157,patient_075_node_1,,
158,patient_000_node_4,,
159,patient_096_node_1,,
160,patient_024_node_3,,
161,patient_071_node_3,,
162,patient_009_node_2,,
163,patient_003_node_3,,
164,patient_085_node_0,,
165,patient_003_node_4,,
166,patient_032_node_0,,
167,patient_032_node_2,,
168,patient_004_node_3,,
169,patient_016_node_4,,
170,patient_025_node_2,,
171,patient_093_node_2,,
172,patient_038_node_1,,
173,patient_054_node_3,,
174,patient_078_node_2,,
175,patient_073_node_4,,
176,patient_048_node_3,,
177,patient_034_node_2,,
178,patient_098_node_0,,
179,patient_053_node_4,,
180,patient_075_node_2,,
181,patient_014_node_0,,
182,patient_085_node_1,,
183,patient_000_node_1,,
184,patient_095_node_3,,
185,patient_098_node_3,,
186,patient_030_node_3,,
187,patient_012_node_1,,
188,patient_082_node_4,,
189,patient_023_node_2,,
190,patient_025_node_4,,
191,patient_090_node_3,,
192,patient_058_node_0,,
193,patient_013_node_1,,
194,patient_099_node_3,,
195,patient_058_node_1,,
196,patient_012_node_2,,
197,patient_066_node_4,,
198,patient_013_node_0,,
199,patient_081_node_0,,
200,patient_076_node_0,,
201,patient_082_node_0,,
202,patient_067_node_2,,
203,patient_058_node_2,,
204,patient_099_node_2,,
205,patient_035_node_1,,
206,patient_085_node_4,,
207,patient_058_node_3,,
208,patient_008_node_1,,
209,patient_090_node_0,,
210,patient_079_node_0,,
211,patient_004_node_1,,
212,patient_047_node_4,,
213,patient_078_node_4,,
214,patient_055_node_2,,
215,patient_054_node_2,,
216,patient_064_node_2,,
217,patient_052_node_4,,
218,patient_030_node_2,,
219,patient_083_node_0,,
220,patient_035_node_2,,
221,patient_066_node_0,,
222,patient_045_node_4,,
223,patient_051_node_2,,
224,patient_069_node_0,,
225,patient_010_node_0,,
226,patient_073_node_1,,
227,patient_052_node_0,,
228,patient_018_node_3,,
229,patient_069_node_1,,
230,patient_029_node_1,,
231,patient_092_node_0,,
232,patient_048_node_1,,
233,patient_094_node_0,,
234,patient_096_node_0,,
235,patient_063_node_0,,
236,patient_091_node_4,,
237,patient_045_node_1,,
238,patient_092_node_1,,
239,patient_047_node_2,,
240,patient_029_node_2,,
241,patient_092_node_3,,
242,patient_030_node_4,,
243,patient_062_node_1,,
244,patient_080_node_4,,
245,patient_040_node_2,,
246,patient_011_node_0,,
247,patient_004_node_4,,
248,patient_052_node_2,,
249,patient_027_node_2,,
250,patient_010_node_4,,
251,patient_028_node_1,,
252,patient_088_node_4,,
253,patient_077_node_4,,
254,patient_017_node_4,,
255,patient_080_node_2,,
256,patient_033_node_3,,
257,patient_021_node_3,,
258,patient_026_node_2,,
259,patient_021_node_1,,
260,patient_016_node_0,,
261,patient_029_node_3,,
262,patient_005_node_3,,
263,patient_065_node_4,,
264,patient_068_node_1,,
265,patient_061_node_4,,
266,patient_020_node_1,,
267,patient_006_node_2,,
268,patient_052_node_3,,
269,patient_019_node_2,,
270,patient_068_node_4,,
271,patient_026_node_1,,
272,patient_017_node_3,,
273,patient_039_node_1,,
274,patient_076_node_1,,
275,patient_060_node_3,,
276,patient_008_node_0,,
277,patient_097_node_3,,
278,patient_027_node_0,,
279,patient_044_node_3,,
280,patient_022_node_4,,
281,patient_067_node_3,,
282,patient_051_node_0,,
283,patient_081_node_2,,
284,patient_046_node_4,,
285,patient_072_node_2,,
286,patient_029_node_0,,
287,patient_070_node_3,,
288,patient_015_node_4,,
289,patient_096_node_3,,
290,patient_042_node_3,,
291,patient_081_node_1,,
292,patient_015_node_2,,
293,patient_049_node_2,,
294,patient_087_node_0,,
295,patient_077_node_2,,
296,patient_065_node_0,,
297,patient_033_node_2,,
298,patient_048_node_0,,
299,patient_072_node_1,,
300,patient_063_node_3,,
301,patient_097_node_1,,
302,patient_094_node_4,,
303,patient_046_node_3,,
304,patient_026_node_3,,
305,patient_080_node_3,,
306,patient_064_node_0,,
307,patient_094_node_2,,
308,patient_062_node_3,,
309,patient_036_node_3,,
310,patient_018_node_1,,
311,patient_076_node_3,,
312,patient_014_node_4,,
313,patient_095_node_0,,
314,patient_019_node_0,,
315,patient_018_node_2,,
316,patient_015_node_1,,
317,patient_087_node_1,,
318,patient_024_node_2,,
319,patient_006_node_4,,
320,patient_038_node_0,,
321,patient_099_node_4,,
322,patient_044_node_4,,
323,patient_086_node_0,,
324,patient_013_node_3,,
325,patient_039_node_0,,
326,patient_062_node_2,,
327,patient_069_node_2,,
328,patient_096_node_4,,
329,patient_017_node_1,,
330,patient_073_node_3,,
331,patient_075_node_4,,
332,patient_019_node_3,,
333,patient_026_node_4,,
334,patient_060_node_0,,
335,patient_050_node_4,,
336,patient_026_node_0,,
337,patient_012_node_0,,
338,patient_072_node_0,,
339,patient_028_node_0,,
340,patient_016_node_1,,
341,patient_097_node_4,,
342,patient_081_node_4,,
343,patient_032_node_1,,
344,patient_014_node_2,,
345,patient_051_node_4,,
346,patient_089_node_3,,
347,patient_091_node_2,,
348,patient_069_node_3,,
