,train,val,test
42,patient_027_node_3,patient_033_node_3,patient_013_node_0
43,patient_081_node_3,patient_014_node_2,patient_046_node_2
44,patient_061_node_3,patient_060_node_3,patient_030_node_0
45,patient_042_node_1,patient_029_node_2,patient_061_node_0
46,patient_043_node_3,patient_062_node_1,patient_053_node_1
47,patient_064_node_1,patient_069_node_2,patient_044_node_1
48,patient_060_node_1,patient_026_node_1,patient_028_node_4
49,patient_022_node_3,patient_022_node_1,patient_057_node_4
50,patient_031_node_3,,patient_050_node_2
51,patient_055_node_1,,patient_011_node_2
52,patient_034_node_0,,patient_016_node_3
53,patient_009_node_3,,patient_040_node_3
54,patient_011_node_3,,patient_070_node_4
55,patient_057_node_2,,patient_025_node_1
56,patient_057_node_3,,patient_090_node_4
57,patient_089_node_2,,patient_002_node_4
58,patient_056_node_2,,patient_041_node_3
59,patient_044_node_2,,patient_092_node_2
60,patient_005_node_1,,patient_093_node_1
61,patient_073_node_2,,patient_087_node_3
62,patient_002_node_0,,patient_054_node_4
63,patient_032_node_3,,patient_090_node_3
64,patient_083_node_1,,patient_073_node_3
65,patient_003_node_0,,patient_029_node_3
66,patient_055_node_4,,patient_045_node_1
67,patient_037_node_2,,patient_072_node_4
68,patient_053_node_2,,patient_080_node_2
69,patient_055_node_0,,patient_021_node_4
70,patient_017_node_0,,patient_030_node_4
71,patient_012_node_4,,patient_092_node_3
72,patient_098_node_1,,patient_096_node_2
73,patient_079_node_3,,patient_051_node_1
74,patient_005_node_2,,patient_019_node_0
75,patient_002_node_1,,patient_061_node_4
76,patient_087_node_2,,patient_069_node_3
77,patient_078_node_0,,patient_052_node_0
78,patient_022_node_2,,patient_022_node_0
79,patient_036_node_4,,patient_052_node_2
80,patient_039_node_3,,patient_014_node_4
81,patient_044_node_0,,patient_062_node_0
82,patient_018_node_0,,patient_039_node_1
83,patient_048_node_4,,patient_092_node_4
84,patient_068_node_2,,patient_092_node_0
85,patient_049_node_4,,patient_006_node_2
86,patient_085_node_3,,patient_038_node_4
87,patient_035_node_0,,patient_069_node_0
88,patient_032_node_4,,patient_091_node_2
89,patient_007_node_1,,patient_095_node_0
90,patient_011_node_1,,patient_038_node_0
91,patient_059_node_4,,patient_039_node_0
92,patient_089_node_0,,patient_051_node_2
93,patient_071_node_2,,patient_076_node_3
94,patient_089_node_4,,patient_041_node_0
95,patient_072_node_3,,patient_064_node_0
96,patient_002_node_2,,patient_008_node_0
97,patient_053_node_0,,patient_091_node_4
98,patient_024_node_0,,patient_063_node_4
99,patient_031_node_1,,patient_026_node_3
100,patient_010_node_2,,
101,patient_010_node_1,,
102,patient_064_node_4,,
103,patient_000_node_2,,
104,patient_020_node_0,,
105,patient_077_node_1,,
106,patient_041_node_4,,
107,patient_053_node_3,,
108,patient_035_node_3,,
109,patient_085_node_2,,
110,patient_011_node_4,,
111,patient_047_node_1,,
112,patient_008_node_2,,
113,patient_086_node_2,,
114,patient_007_node_3,,
115,patient_060_node_2,,
116,patient_043_node_4,,
117,patient_021_node_2,,
118,patient_046_node_1,,
119,patient_019_node_4,,
120,patient_040_node_0,,
121,patient_082_node_2,,
122,patient_041_node_2,,
123,patient_043_node_1,,
124,patient_043_node_2,,
125,patient_083_node_3,,
126,patient_054_node_0,,
127,patient_091_node_1,,
128,patient_094_node_3,,
129,patient_057_node_1,,
130,patient_001_node_1,,
131,patient_067_node_1,,
132,patient_070_node_2,,
133,patient_060_node_4,,
134,patient_056_node_3,,
135,patient_040_node_4,,
136,patient_046_node_0,,
137,patient_075_node_3,,
138,patient_069_node_4,,
139,patient_093_node_3,,
140,patient_066_node_1,,
141,patient_071_node_1,,
142,patient_033_node_0,,
143,patient_056_node_0,,
144,patient_049_node_3,,
145,patient_007_node_0,,
146,patient_055_node_3,,
147,patient_036_node_2,,
148,patient_098_node_4,,
149,patient_067_node_0,,
150,patient_088_node_0,,
151,patient_077_node_3,,
152,patient_082_node_1,,
153,patient_056_node_1,,
154,patient_023_node_4,,
155,patient_025_node_3,,
156,patient_084_node_0,,
157,patient_075_node_1,,
158,patient_000_node_4,,
159,patient_096_node_1,,
160,patient_024_node_3,,
161,patient_073_node_0,,
162,patient_071_node_3,,
163,patient_009_node_2,,
164,patient_003_node_3,,
165,patient_048_node_2,,
166,patient_085_node_0,,
167,patient_032_node_0,,
168,patient_032_node_2,,
169,patient_004_node_3,,
170,patient_079_node_2,,
171,patient_079_node_4,,
172,patient_025_node_2,,
173,patient_054_node_3,,
174,patient_078_node_2,,
175,patient_098_node_0,,
176,patient_053_node_4,,
177,patient_075_node_2,,
178,patient_014_node_0,,
179,patient_085_node_1,,
180,patient_000_node_1,,
181,patient_051_node_3,,
182,patient_016_node_2,,
183,patient_095_node_3,,
184,patient_098_node_3,,
185,patient_030_node_3,,
186,patient_012_node_1,,
187,patient_012_node_3,,
188,patient_082_node_4,,
189,patient_023_node_2,,
190,patient_025_node_4,,
191,patient_058_node_4,,
192,patient_042_node_0,,
193,patient_013_node_1,,
194,patient_099_node_3,,
195,patient_058_node_1,,
196,patient_012_node_2,,
197,patient_004_node_0,,
198,patient_066_node_4,,
199,patient_081_node_0,,
200,patient_076_node_0,,
201,patient_074_node_0,,
202,patient_082_node_0,,
203,patient_058_node_2,,
204,patient_035_node_1,,
205,patient_027_node_1,,
206,patient_085_node_4,,
207,patient_058_node_3,,
208,patient_008_node_1,,
209,patient_079_node_0,,
210,patient_004_node_1,,
211,patient_002_node_3,,
212,patient_061_node_1,,
213,patient_039_node_4,,
214,patient_047_node_4,,
215,patient_078_node_4,,
216,patient_054_node_2,,
217,patient_043_node_0,,
218,patient_064_node_2,,
219,patient_030_node_2,,
220,patient_035_node_2,,
221,patient_066_node_0,,
222,patient_045_node_4,,
223,patient_024_node_4,,
224,patient_073_node_1,,
225,patient_018_node_3,,
226,patient_069_node_1,,
227,patient_066_node_2,,
228,patient_029_node_1,,
229,patient_066_node_3,,
230,patient_048_node_1,,
231,patient_009_node_1,,
232,patient_096_node_0,,
233,patient_063_node_0,,
234,patient_076_node_2,,
235,patient_024_node_1,,
236,patient_092_node_1,,
237,patient_047_node_2,,
238,patient_005_node_4,,
239,patient_038_node_2,,
240,patient_080_node_4,,
241,patient_040_node_2,,
242,patient_011_node_0,,
243,patient_004_node_4,,
244,patient_027_node_2,,
245,patient_010_node_4,,
246,patient_028_node_1,,
247,patient_088_node_4,,
248,patient_067_node_4,,
249,patient_077_node_4,,
250,patient_080_node_0,,
251,patient_021_node_3,,
252,patient_028_node_3,,
253,patient_021_node_0,,
254,patient_045_node_0,,
255,patient_026_node_2,,
256,patient_021_node_1,,
257,patient_016_node_0,,
258,patient_009_node_0,,
259,patient_088_node_1,,
260,patient_005_node_3,,
261,patient_020_node_2,,
262,patient_065_node_4,,
263,patient_068_node_1,,
264,patient_020_node_1,,
265,patient_052_node_3,,
266,patient_019_node_2,,
267,patient_068_node_4,,
268,patient_017_node_3,,
269,patient_097_node_0,,
270,patient_076_node_1,,
271,patient_097_node_3,,
272,patient_019_node_1,,
273,patient_027_node_0,,
274,patient_044_node_3,,
275,patient_022_node_4,,
276,patient_076_node_4,,
277,patient_067_node_3,,
278,patient_051_node_0,,
279,patient_081_node_2,,
280,patient_046_node_4,,
281,patient_072_node_2,,
282,patient_029_node_0,,
283,patient_070_node_3,,
284,patient_015_node_4,,
285,patient_096_node_3,,
286,patient_063_node_2,,
287,patient_042_node_3,,
288,patient_033_node_1,,
289,patient_074_node_4,,
290,patient_081_node_1,,
291,patient_049_node_2,,
292,patient_077_node_2,,
293,patient_065_node_0,,
294,patient_093_node_4,,
295,patient_007_node_4,,
296,patient_033_node_2,,
297,patient_048_node_0,,
298,patient_072_node_1,,
299,patient_097_node_1,,
300,patient_094_node_4,,
301,patient_046_node_3,,
302,patient_080_node_3,,
303,patient_094_node_2,,
304,patient_062_node_3,,
305,patient_036_node_3,,
306,patient_018_node_1,,
307,patient_018_node_2,,
308,patient_015_node_1,,
309,patient_091_node_3,,
310,patient_087_node_1,,
311,patient_024_node_2,,
312,patient_080_node_1,,
313,patient_034_node_3,,
314,patient_049_node_1,,
315,patient_013_node_4,,
316,patient_006_node_4,,
317,patient_099_node_4,,
318,patient_044_node_4,,
319,patient_086_node_0,,
320,patient_013_node_3,,
321,patient_094_node_1,,
322,patient_096_node_4,,
323,patient_017_node_2,,
324,patient_017_node_1,,
325,patient_075_node_4,,
326,patient_019_node_3,,
327,patient_026_node_4,,
328,patient_084_node_3,,
329,patient_060_node_0,,
330,patient_050_node_4,,
331,patient_026_node_0,,
332,patient_072_node_0,,
333,patient_028_node_0,,
334,patient_016_node_1,,
335,patient_028_node_2,,
336,patient_097_node_4,,
337,patient_086_node_4,,
338,patient_081_node_4,,
339,patient_045_node_3,,
340,patient_032_node_1,,
341,patient_018_node_4,,
342,patient_051_node_4,,
343,patient_089_node_3,,
344,patient_027_node_4,,
345,patient_014_node_3,,
346,patient_064_node_3,,
347,patient_020_node_4,,
348,patient_084_node_2,,
